"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"218",25,0,0,0,0,0,0,NA,0,9602.01976622806
"2403",135,0,0,0,0,0,0,NA,0,13457.2429643418
"407",0,0,0,0,0,0,0,NA,NA,243529.159407481
"20",0,0,0,0,4,0,0,NA,0,82848.020344872
"385",0,0,0,0,5,0,1,1,0,14558.2169757061
"1668",0,0,0,0,0,0,0,NA,NA,37225.8120073747
"2191",0,0,0,0,0,0,0,NA,NA,43306.8674614206
"103",8,0,0,0,0,0,0,NA,NA,37388.3969325918
"2441",0,0,0,0,0,0,0,NA,NA,37912.1389015127
"1906",0,0,0,0,0,0,0,NA,NA,7836.20911685
"342",15,0,0,0,0,0,1,NA,0,7035.35304123334
"1463",30,0,0,0,0,0,0,NA,0,11374.621489621
"705",0,0,0,0,0,0,0,0,NA,23306.5244221957
"1398",0,0,0,0,0,0,0,NA,NA,70796.2690640076
"1210",0,0,0,0,0,0,0,NA,NA,10421.4064822768
"2668",0,0,0,0,0,0,0,NA,NA,82938.6842248587
"1607",40,0,0,0,0,0,1,1,NA,10351.5543361793
"1505",0,0,0,0,0,0,0,NA,NA,47961.355297736
"1909",0,0,0,0,0,0,0,NA,NA,39316.9534334254
"458",0,0,0,0,0,0,0,NA,NA,129206.424640976
"679",0,0,0,0,0,0,0,NA,NA,12667.1758868597
"2673",0,0,0,0,0,0,1,1,NA,15583.8260428996
"990",30,0,0,0,0,0,0,NA,0,10145.7597809759
"2293",0,0,0,0,0,0,0,NA,NA,6915.25167613814
"434",0,0,0,0,0,0,0,NA,NA,36726.0056511344
"1611",0,0,0,0,0,0,0,NA,0,12325.9167894237
"1193",0,0,0,0,0,0,0,NA,NA,46748.4491669765
"2178",0,0,0,0,0,0,0,NA,NA,48688.502249883
"128",0,0,0,0,0,0,0,NA,NA,69248.3817654006
"737",0,0,0,0,0,0,0,NA,NA,247873.759405188
"138",0,0,0,0,0,0,0,NA,NA,297805.523226058
"1535",3,0,0,0,0,0,1,NA,0,13471.0386493393
"106",0,0,0,0,0,0,0,0,NA,57078.7782599411
"2478",0,0,0,0,0,0,0,NA,NA,100608.773404541
"615",4,0,0,0,0,0,1,NA,0,48815.7288542832
"633",0,0,0,0,0,10,0,NA,0,5263.86631360125
"2743",0,0,0,0,2,0,0,NA,0,25341.1505196293
"333",0,0,0,0,0,0,1,1,NA,19505.752643699
"1370",0,0,0,0,0,0,0,NA,NA,12249.7628696354
"1307",25,0,0,0,0,0,1,NA,0,13621.7557747981
"398",0,0,10,0,0,0,0,NA,0,59094.0417915152
"696",0,0,0,0,0,0,0,NA,NA,28610.9378662354
"2132",0,0,0,0,0,0,0,NA,NA,13961.2681298663
"340",0,0,0,0,0,0,0,NA,NA,7520.68638841386
"1271",0,0,0,0,0,0,0,NA,NA,110645.515927415
"1504",0,40,0,0,0,0,1,NA,0,31282.3034055172
"563",NA,0,0,0,0,0,0,NA,0,29967.190009126
"1724",0,0,0,0,0,25,1,NA,0,21921.9156159707
"2706",0,0,0,0,0,0,1,1,NA,16156.4262366485
"1087",10,0,0,0,0,0,0,NA,0,12189.6216935909
"2488",20,0,0,0,0,0,0,NA,1,9177.41449096441
"1929",0,0,0,0,0,0,0,NA,NA,36831.9140687082
"1566",0,0,0,0,0,0,0,NA,NA,38737.444129275
"989",0,0,0,0,0,0,0,NA,NA,83982.5310118531
"1006",0,0,2,0,0,0,1,NA,0,25281.4109413319
"1202",0,0,0,0,0,0,0,NA,NA,41119.4454786483
"2128",0,0,0,0,10,0,0,1,0,40817.7282160753
"1760",0,0,0,0,0,0,0,NA,NA,83982.5310118531
"179",0,0,0,0,0,0,0,NA,NA,6353.40613297565
"1574",0,0,0,0,5,0,0,NA,0,10416.1998012423
"2676",17,0,0,0,0,0,0,NA,NA,6871.37373690406
"418",0,0,0,0,0,0,0,NA,NA,51523.9790727719
"64",30,0,0,0,0,0,0,NA,0,9784.849201572
"2211",0,0,0,0,0,0,0,NA,NA,142433.577502713
"1327",0,0,0,0,0,0,0,NA,NA,153957.54592963
"1503",0,0,0,0,0,0,0,NA,NA,187128.982790652
"718",0,0,0,0,0,0,0,0,NA,64542.752790488
"2655",0,0,0,0,0,0,0,NA,NA,16919.0264787525
"1036",0,0,0,0,0,0,0,NA,NA,54600.0994640403
"428",0,0,0,0,0,0,1,NA,0,11454.4072855363
"2402",0,30,0,0,0,0,0,NA,0,30582.5724698136
"1797",0,0,0,0,0,0,0,NA,NA,74647.2010822758
"151",2,0,0,0,0,0,1,NA,0,30214.4627400276
"2077",68,0,0,0,0,0,0,NA,0,25687.6574649758
"1806",0,0,0,0,0,0,0,0,NA,8881.41813424255
"177",0,0,0,0,23,0,0,0,0,7822.73672032719
"1913",1,0,0,0,0,0,0,NA,0,9173.19700543862
"1224",0,0,0,40,0,0,0,NA,0,8624.37778345928
"2636",0,0,0,0,0,0,0,NA,NA,111947.736186325
"1163",45,0,0,0,0,0,1,NA,0,8132.69849132443
"1916",0,0,0,0,0,0,0,NA,NA,61694.4710427417
"2561",0,0,0,0,0,0,0,NA,NA,151199.273481863
"622",180,0,0,0,0,0,0,NA,1,15029.5915418904
"114",0,0,0,0,0,0,0,NA,NA,7818.68325089123
"1878",0,0,0,0,0,0,0,NA,NA,35288.4807705852
"2281",0,0,0,0,0,55,1,NA,0,8219.4246978862
"230",0,0,0,0,0,0,0,NA,NA,14528.4901645697
"2113",0,0,0,0,0,0,0,NA,NA,134690.143133341
"936",10,0,0,0,0,0,0,NA,1,24408.2164014639
"2447",90,0,0,0,0,0,1,NA,0,39362.1855703197
"108",2,0,0,0,0,0,0,NA,1,10563.2181990348
"1714",0,0,0,0,0,0,0,0,NA,7594.2121080529
"1382",0,0,0,0,0,10,1,NA,0,10537.2541162836
"930",0,0,0,0,0,0,0,NA,NA,12325.9167894237
"249",0,0,0,0,20,0,1,NA,0,4386.98529564747
"1399",0,0,0,0,0,0,0,NA,NA,18891.995177633
"1334",0,0,0,0,0,0,0,NA,NA,162164.101726342
"332",0,0,0,0,0,0,0,NA,NA,12180.636283927
"1390",20,0,0,0,0,0,1,NA,0,7231.64738395703
"390",0,0,0,0,0,0,0,NA,0,15502.503306262
"953",10,0,0,0,0,0,0,NA,0,15583.8260428996
